Marca.temporal;genero;genero_diverso;edad;discapacidad;nivel_formacion;carrera_grado;tipo_universidad;pais;provincia;trabajo;rubro;dotacion;origen_capital;dotacion_rh;puesto;tipo_contratacion;funcion_rh;personas_a_cargo;anios_en_empresa;anios_en_puesto;anios_experiencia;sueldo_bruto;beneficios;bono;ajuste;ajuste_porcentaje;ajuste_mes;otros_proyectos;erp;nombre_area;mate;idioma_exigencia;idioma_porcentaje;contactos_linkedin;satisfaccion;busqueda;beneficios_expectativa;rh_una_palabra;pregunta_bizarra;teletrabajo;elementos;valoracion_gestion_empresa
2020-10-01T11:12:46Z;Femenino;No;35;No tengo ninguna discapacidad;Universitario completo;Lic en Turismo;Universidad Pública;Argentina;San Juan;Relación de Dependencia;Minería (carbón, otra minería);150;Nacional;2;Jefe;Full time;Gestión de expatriados;5;3;2;8;70800;Medicina prepaga / Plan de salud, Horarios flexibles, Frutas y snacks, Abono de celular, Home office;No recibo bono;1 solo;20;Julio;Si, en emprendimiento no relacionado con RRHH;Tango;Recursos Humanos;Si, está permitido;No;0;1454;3;Sí, activamente;Horario Flexible. Movilidad. Vacaciones Extendidas;Gestión;NA;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;4
2020-10-01T11:14:43Z;Masculino;No;29;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Relación de Dependencia;Función pública;520;Nacional;7;Director;Full time;Generalista;7;4;3;6;60000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de celular, Home office;No recibo bono;No tuve ajustes;0;Enero;Si, en proyectos ad honorem;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0;2500;2;Sí, activamente;Flexibles, horarios, home office, Gimnacio, prepaga,;Pasión;Cómo te ves de acá a 15 años;Si;Computadora / Laptop;3
2020-10-01T11:15:30Z;Femenino;No;31;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Función pública;400;Nacional;6;Administrativo;Full time;Administración de personal;0;3;3;8;41000;No tengo beneficios adicionales, Charter / Servicio de transporte;No recibo bono;No tuve ajustes;0;Enero;No;No tenemos sistema de gestión;Oficina de Personal;Si, está permitido;No;0;0;2;No,  pero escucho ofertas;NA;GESTION;Si pensaba tener hijos en el corto plazo;Si;No me enviaron ni reintegraron nada;2
2020-10-01T11:24:40Z;Femenino;No;39;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Construcción;50;Nacional;2;Responsable;Full time;Generalista;1;2;2;14;30000;Abono de celular, Préstamos, Combustible, Reintegros en capacitación;Un sueldo;No tuve ajustes;0;NA;Si, en emprendimiento relacionado con RRHH;Tango;Recursos Humanos;Si, está permitido;No;0;1000;3;No,  pero escucho ofertas;Mayor sueldo;Intermediario;No recuerdo. Hay muchas;No;No estoy trabajando en home office;3
2020-10-01T11:25:06Z;Femenino;Si;34;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Privada;Argentina;Mendoza;Relación de Dependencia;"Agricultura; plantaciones,otros sectores rurales";65;Nacional;1;Responsable;Full time;Generalista;1;5;3;2;55000;Frutas y snacks, Préstamos, Posgrados, Reintegros en capacitación;Menos de un sueldo;2 ajustes;20;Julio;Si, en emprendimiento relacionado con RRHH;Enlatado propio;Recursos Humanos;Si, está permitido;No;0.1;260;4;No,  pero escucho ofertas;Aprendizaje;Integracion;-;No;No estoy trabajando en home office;5
2020-10-01T11:32:04Z;Femenino;No;38;No tengo ninguna discapacidad;Universitario completo;Abogacía;Universidad Privada;Argentina;Santa Fe;Relación de Dependencia;Comercio;110;Nacional;2;Responsable;Full time;Generalista;0;4;4;20;40000;No tengo beneficios adicionales, Horarios flexibles;No recibo bono;1 solo;10;Agosto;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0;12000;3;Sí, activamente;medicina prepaga para la familia, horarios flexible, algo de home office;apasionante;no he tenido estas preguntas;No;No estoy trabajando en home office;2
2020-10-01T11:35:54Z;Masculino;No;40;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Argentina;Córdoba;Relación de Dependencia;"Alimentación; bebidas; tabaco";120;Nacional;2;Gerente;Full time;Generalista;6;4;4;13;245000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Frutas y snacks, Abono de celular, Préstamos, Reintegros en capacitación, Idiomas;Un sueldo;3 o más ajustes;24;Septiembre;No;Infocor;Recursos Humanos;Si, está permitido;No;0;11500;5;No estoy buscando cambiar;Algo relacionado al descuento de ganancias;Gestión;Ninguna;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Kit sanitizante, Abono de celular;4
2020-10-01T11:39:29Z;Femenino;No;36;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Argentina;Tucumán;Relación de Dependencia;Construcción;120;Nacional;1;Jefe;Full time;Generalista;0;7;7;14;100000;Tarjeta de descuento, Home office;No recibo bono;3 o más ajustes;5;Septiembre;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0;50;3;Sí, activamente;Respeto;Complejidad;NA;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;4
2020-10-01T11:40:19Z;Femenino;No;36;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;San Juan;Relación de Dependencia;Comercio;65;Multinacional;1;Jefe;Full time;Generalista;65;10;10;12;68000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Seguro de vida (adicionales a los de ley), Préstamos, Comedor / Almuerzos;Dos sueldos;1 solo;23;Septiembre;Si, en emprendimiento no relacionado con RRHH;Meta4;Recursos Humanos;Si, está permitido;Si;0.1;0;2;Sí, activamente;horarios flexibles;desafío continuo;NA;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3
2020-10-01T11:41:57Z;Femenino;Si;28;No tengo ninguna discapacidad;Secundario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;San Juan;Relación de Dependencia;"Alimentación; bebidas; tabaco";150;Nacional;3;Administrativo;Full time;Administración de personal;0;9;9;9;40000;Horarios flexibles, Vacaciones extendidas, Abono de celular, Home office, Comedor / Almuerzos;Menos de un sueldo;No tuve ajustes;10;Enero;No;Tango;Recursos Humanos;Si, está permitido;No;0.1;20;4;No,  pero escucho ofertas;seria buena idea reconocar la obra social;felicidad;si fuera una planta cual seria?;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;3
2020-10-01T11:45:43Z;Masculino;No;33;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Tucumán;Relación de Dependencia;Educación;80;Nacional;1;Jefe;Full time;Generalista;3;0;0;4;30900;No tengo beneficios adicionales;No recibo bono;1 solo;10;Septiembre;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0;NA;3;No,  pero escucho ofertas;Obra Social;Compromiso;NA;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;4
2020-10-01T11:45:52Z;Femenino;No;38;No tengo ninguna discapacidad;Maestría en curso;Lic. en Ciencias de la Comunicación;Universidad Pública;Argentina;Tucumán;Relación de Dependencia;"Agricultura; plantaciones,otros sectores rurales";352;Nacional;6;Jefe;Full time;Generalista;5;3;1;12;105000;No tengo beneficios adicionales;No recibo bono;1 solo;19;Agosto;Si, en emprendimiento relacionado con RRHH;GESPER - Noanet;Recursos Humanos;Si, está permitido;No;0.1;5500;4;No,  pero escucho ofertas;Flex time - vacaciones días habiles;Gestión;NA;No;NA;3
2020-10-01T11:50:24Z;Masculino;No;32;No tengo ninguna discapacidad;Maestría en curso;Administración de Empresas;Universidad Pública;Ecuador;NA;Relación de Dependencia;Industrias químicas;406;Multinacional;5;HRBP;Full time;Generalista;1;5;5;14;1400;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Seguro de vida (adicionales a los de ley), Préstamos, Reintegros en capacitación, Comedor / Almuerzos, Charter / Servicio de transporte;Menos de un sueldo;No tuve ajustes;0;NA;No;compers, evolution;Talento Humano;No se suele tomar mate en este país;No;0;5000;4;No,  pero escucho ofertas;desarrollo profesional;empoderamiento;ninguna que recuerde;NA;NA;NA
2020-10-01T11:52:19Z;Masculino;No;47;Obesidad;Terciario completo;No estudié en la Universidad;No estudié en la Universidad;Argentina;Tucumán;Relación de Dependencia;Terminales automotrices, fábricas autopartistas, y afines;360;Nacional;5;Gerente;Full time;Generalista;5;2;2;3;110000;Comedor / Almuerzos, Spotify / Netflix / Servicios de Streaming;No recibo bono;2 ajustes;35;Agosto;Si, en emprendimiento no relacionado con RRHH;Tango;Recursos Humanos;Si, está permitido;No;0;150;5;No estoy buscando cambiar;movilidad;Gestión;¿Tenés casa propia?;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Abono de celular;4
